cell,true_label,cluster
A2.MAA000944.3_9_M.1.1,oligodendrocyte,18
A2.MAA001854.3_38_F.1.1,oligodendrocyte,7
A20.B003274.3_38_F.1.1,oligodendrocyte,1
A20.B003275.3_38_F.1.1,endothelial cell,5
A20.B003277.3_39_F.1.1,oligodendrocyte,17
A20.B003290.3_38_F.1.1,neuron,19
A20.MAA000550.3_10_M.1.1,oligodendrocyte precursor cell,0
A20.MAA000560.3_10_M.1.1,oligodendrocyte,4
A20.MAA000561.3_10_M.1.1,brain pericyte,6
A20.MAA000564.3_10_M.1.1,endothelial cell,5
A20.MAA000581.3_10_M.1.1,neuron,11
A20.MAA000926.3_9_M.1.1,brain pericyte,6
A20.MAA000944.3_9_M.1.1,neuron,11
A20.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,0
A21.B003275.3_38_F.1.1,endothelial cell,5
A21.B003277.3_39_F.1.1,oligodendrocyte,17
A21.B003290.3_38_F.1.1,oligodendrocyte,16
A21.MAA000424.3_11_M.1.1,endothelial cell,12
A21.MAA000560.3_10_M.1.1,astrocyte,2
A21.MAA000561.3_10_M.1.1,neuron,19
A21.MAA000581.3_10_M.1.1,endothelial cell,12
A21.MAA000925.3_9_M.1.1,oligodendrocyte,17
A21.MAA000926.3_9_M.1.1,astrocyte,14
A21.MAA000930.3_8_M.1.1,astrocyte,14
A21.MAA000944.3_9_M.1.1,endothelial cell,5
A21.MAA001894.3_39_F.1.1,oligodendrocyte,1
A21.MAA001895.3_38_F.1.1,oligodendrocyte,16
A22.B003275.3_38_F.1.1,endothelial cell,5
A22.MAA000424.3_11_M.1.1,endothelial cell,5
A22.MAA000560.3_10_M.1.1,astrocyte,9
A22.MAA000561.3_10_M.1.1,endothelial cell,13
A22.MAA000564.3_10_M.1.1,oligodendrocyte,17
A22.MAA000581.3_10_M.1.1,endothelial cell,13
A22.MAA000641.3_9_M.1.1,oligodendrocyte,17
A22.MAA000923.3_9_M.1.1,oligodendrocyte,17
A22.MAA000926.3_9_M.1.1,oligodendrocyte,17
A22.MAA000935.3_8_M.1.1,astrocyte,2
A22.MAA000940.3_8_M.1.1,oligodendrocyte,1
A22.MAA001895.3_38_F.1.1,brain pericyte,6
A3.B003290.3_38_F.1.1,endothelial cell,5
A3.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,0
A3.MAA000564.3_10_M.1.1,brain pericyte,6
A3.MAA000615.3_10_M.1.1,oligodendrocyte,10
A3.MAA000928.3_9_M.1.1,Bergmann glial cell,15
A3.MAA000930.3_8_M.1.1,oligodendrocyte,1
A3.MAA000932.3_11_M.1.1,endothelial cell,13
A3.MAA000944.3_9_M.1.1,astrocyte,2
A3.MAA001854.3_38_F.1.1,oligodendrocyte,1
A3.MAA001894.3_39_F.1.1,oligodendrocyte,4
A3.MAA001895.3_38_F.1.1,brain pericyte,6
A4.B003290.3_38_F.1.1,endothelial cell,5
A4.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,0
A4.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,0
A4.MAA000578.3_10_M.1.1,neuron,11
A4.MAA000615.3_10_M.1.1,oligodendrocyte,1
A4.MAA000641.3_9_M.1.1,oligodendrocyte,7
A4.MAA000902.3_11_M.1.1,oligodendrocyte,17
A4.MAA000930.3_8_M.1.1,oligodendrocyte,14
A4.MAA000932.3_11_M.1.1,endothelial cell,5
A4.MAA000942.3_8_M.1.1,endothelial cell,5
A4.MAA000944.3_9_M.1.1,oligodendrocyte,4
A4.MAA001894.3_39_F.1.1,astrocyte,2
A4.MAA001895.3_38_F.1.1,endothelial cell,13
A5.B003290.3_38_F.1.1,endothelial cell,5
A5.MAA000424.3_11_M.1.1,Bergmann glial cell,2
A5.MAA000560.3_10_M.1.1,astrocyte,2
A5.MAA000581.3_10_M.1.1,endothelial cell,5
A5.MAA000923.3_9_M.1.1,oligodendrocyte,1
A5.MAA000926.3_9_M.1.1,oligodendrocyte,17
A5.MAA000928.3_9_M.1.1,oligodendrocyte,7
A5.MAA000932.3_11_M.1.1,endothelial cell,13
A5.MAA000941.3_8_M.1.1,astrocyte,2
A5.MAA001845.3_39_F.1.1,endothelial cell,5
A5.MAA001895.3_38_F.1.1,endothelial cell,5
A6.B003290.3_38_F.1.1,endothelial cell,5
A6.B003728.3_56_F.1.1,oligodendrocyte,18
A6.MAA000550.3_10_M.1.1,oligodendrocyte,17
A6.MAA000560.3_10_M.1.1,astrocyte,2
A6.MAA000930.3_8_M.1.1,astrocyte,9
A6.MAA000932.3_11_M.1.1,endothelial cell,12
A6.MAA000935.3_8_M.1.1,oligodendrocyte,4
A6.MAA000942.3_8_M.1.1,neuron,19
