cell,label,UMAP1,UMAP2
A2.MAA000941.3_8_M.1.1,endothelial cell,3.5586326,-2.2895656
A2.MAA000942.3_8_M.1.1,oligodendrocyte,13.385842,4.729994
A2.MAA000944.3_9_M.1.1,oligodendrocyte,0.3772096,10.947874
A2.MAA001854.3_38_F.1.1,oligodendrocyte,-0.69101423,10.81006
A20.B003274.3_38_F.1.1,oligodendrocyte,12.185707,6.9578567
A20.B003275.3_38_F.1.1,endothelial cell,2.4487636,-0.024706643
A20.B003277.3_39_F.1.1,oligodendrocyte,14.376348,1.9707698
A20.B003290.3_38_F.1.1,neuron,-5.690896,13.802992
A20.MAA000550.3_10_M.1.1,oligodendrocyte precursor cell,12.070766,18.089727
A20.MAA000560.3_10_M.1.1,oligodendrocyte,13.389823,7.8671293
A20.MAA000561.3_10_M.1.1,brain pericyte,-11.818781,3.7924476
A20.MAA000564.3_10_M.1.1,endothelial cell,2.5637882,-0.7452529
A20.MAA000581.3_10_M.1.1,neuron,-3.8501077,8.826459
A20.MAA000926.3_9_M.1.1,brain pericyte,-12.801847,3.60479
A20.MAA000944.3_9_M.1.1,neuron,-4.665085,11.269962
A20.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,12.46962,17.896322
A21.B003275.3_38_F.1.1,endothelial cell,1.2476369,-1.6716522
A21.B003277.3_39_F.1.1,oligodendrocyte,14.572908,3.5238123
A21.B003290.3_38_F.1.1,oligodendrocyte,-1.0737634,8.536822
A21.MAA000424.3_11_M.1.1,endothelial cell,1.4161484,-2.1861722
A21.MAA000560.3_10_M.1.1,astrocyte,1.3242939,15.750643
A21.MAA000561.3_10_M.1.1,neuron,-5.9107113,14.207147
A21.MAA000581.3_10_M.1.1,endothelial cell,1.6087776,-2.135443
A21.MAA000925.3_9_M.1.1,oligodendrocyte,14.290467,6.080959
A21.MAA000926.3_9_M.1.1,astrocyte,1.0582968,13.255944
A21.MAA000930.3_8_M.1.1,astrocyte,16.838503,4.873638
A21.MAA000944.3_9_M.1.1,endothelial cell,3.5101392,-1.2367648
A21.MAA001894.3_39_F.1.1,oligodendrocyte,13.383952,4.327429
A21.MAA001895.3_38_F.1.1,oligodendrocyte,-0.8469553,8.981477
A22.B003275.3_38_F.1.1,endothelial cell,4.228954,-0.42183083
A22.MAA000424.3_11_M.1.1,endothelial cell,2.9568067,-0.24346256
A22.MAA000560.3_10_M.1.1,astrocyte,-0.19146323,9.7968025
A22.MAA000561.3_10_M.1.1,endothelial cell,3.491285,-1.2527404
A22.MAA000564.3_10_M.1.1,oligodendrocyte,14.380304,3.5778213
A22.MAA000581.3_10_M.1.1,endothelial cell,2.8501737,-1.091156
A22.MAA000641.3_9_M.1.1,oligodendrocyte,12.708843,3.9909973
